366
using device: cuda
Iteration 0, loss = 0.0482
Iteration 1560, loss = 0.0001

Iteration 1565, loss = 0.0001

Iteration 1570, loss = 0.0001

Iteration 1575, loss = 0.0001

Iteration 1580, loss = 0.0001

Iteration 1585, loss = 0.0002

Iteration 1590, loss = 0.0001

Iteration 1595, loss = 0.0001

Iteration 1600, loss = 0.0001

Iteration 1605, loss = 0.0002

Iteration 1610, loss = 0.0001

Iteration 1615, loss = 0.0001

Iteration 1620, loss = 0.0001

Iteration 1625, loss = 0.0002

Iteration 1630, loss = 0.0002

Iteration 1635, loss = 0.0001

Iteration 1640, loss = 0.0002

Iteration 1645, loss = 0.0002

Iteration 1650, loss = 0.0001

Iteration 1655, loss = 0.0002

Iteration 1660, loss = 0.0001

Iteration 1665, loss = 0.0002

Iteration 1670, loss = 0.0001

Iteration 1675, loss = 0.0002

Iteration 1680, loss = 0.0001

Iteration 1685, loss = 0.0001

Iteration 1690, loss = 0.0002

Iteration 1695, loss = 0.0001

